This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
33,34,67,Se,-46580.289,8369.534,66949994
42,26,68,Fe,-43486.914,8411.698,67953314.88
41,27,68,Co,-51930.665,8524.366,67944250.14
40,28,68,Ni,-63463.814,8682.466,67931868.79
39,29,68,Cu,-65567.035,8701.89,67929610.89
38,30,68,Zn,-70007.092,8755.68,67924844.29
37,31,68,Ga,-67085.992,8701.218,67927980.22
36,32,68,Ge,-66978.789,8688.136,67928095.31
35,33,68,As,-58894.519,8557.745,67936774.13
34,34,68,Se,-54189.441,8477.047,67941825.24
42,27,69,Co,-50279.157,8493.865,68946023.1
41,28,69,Ni,-59978.648,8623.099,68935610.27
40,29,69,Cu,-65736.213,8695.204,68929429.27
39,30,69,Zn,-68417.845,8722.729,68926550.42
38,31,69,Ga,-69327.809,8724.579,68925573.53
37,32,69,Ge,-67100.663,8680.963,68927964.47
36,33,69,As,-63112.171,8611.821,68932246.29
35,34,69,Se,-56434.706,8503.707,68939414.85
34,35,69,Br,-46259.47,8344.902,68950338.41
42,28,70,Ni,-59213.86,8604.291,69936431.3
41,29,70,Cu,-62976.373,8646.865,69932392.08
40,30,70,Zn,-69564.735,8729.808,69925319.18
39,31,70,Ga,-68910.14,8709.28,69926021.92
38,32,70,Ge,-70561.876,8721.7,69924248.71
37,33,70,As,-64341.876,8621.666,69930926.15
36,34,70,Se,-61929.891,8576.033,69933515.52
35,35,70,Br,-51425.619,8414.796,69944792.32
44,27,71,Co,-44369.926,8398.734,70952366.92
43,28,71,Ni,-55406.228,8543.156,70940518.96
42,29,71,Cu,-62711.127,8635.022,70932676.83
41,30,71,Zn,-67328.777,8689.041,70927719.58
40,31,71,Ga,-70139.135,8717.604,70924702.54
39,32,71,Ge,-69906.497,8703.309,70924952.28
38,33,71,As,-67893.097,8663.932,70927113.76
37,34,71,Se,-63146.507,8586.06,70932209.43
36,35,71,Br,-56502.418,8481.462,70939342.16
35,36,71,Kr,-46327.205,8327.13,70950265.7
44,28,72,Ni,-54226.06,8520.211,71941785.93
43,29,72,Cu,-59782.999,8586.525,71935820.31
42,30,72,Zn,-68145.486,8691.805,71926842.81
41,31,72,Ga,-68588.293,8687.089,71926367.43
40,32,72,Ge,-72585.9,8731.745,71922075.83
39,33,72,As,-68229.798,8660.378,71926752.3
38,34,72,Se,-67868.18,8644.489,71927140.51
37,35,72,Br,-59061.743,8511.312,71936594.61
36,36,72,Kr,-53940.575,8429.319,71942092.41
45,28,73,Ni,-50108.152,8457.652,72946206.68
44,29,73,Cu,-58987.437,8568.569,72936674.38
43,30,73,Zn,-65593.402,8648.345,72929582.58
42,31,73,Ga,-69699.335,8693.873,72925174.68
41,32,73,Ge,-71297.523,8705.049,72923458.96
40,33,73,As,-70952.747,8689.609,72923829.09
39,34,73,Se,-68227.387,8641.558,72926754.88
38,35,73,Br,-63647.475,8568.103,72931671.62
37,36,73,Kr,-56551.751,8460.184,72939289.2
45,29,74,Cu,-56006.205,8521.562,73939874.86
44,30,74,Zn,-65756.712,8642.754,73929407.26
43,31,74,Ga,-68049.617,8663.167,73926945.73
42,32,74,Ge,-73422.442,8725.2,73921177.76
41,33,74,As,-70860.054,8680.001,73923928.6
40,34,74,Se,-72213.201,8687.715,73922475.94
39,35,74,Br,-65288.153,8583.561,73929910.28
38,36,74,Kr,-62331.836,8533.038,73933084.02
37,37,74,Rb,-51916.009,8381.712,73944265.87
46,29,75,Cu,-54471.341,8495.094,74941522.61
45,30,75,Zn,-62558.908,8592.497,74932840.25
44,31,75,Ga,-68464.58,8660.808,74926500.25
43,32,75,Ge,-71856.965,8695.609,74922858.37
42,33,75,As,-73034.195,8700.874,74921594.56
41,34,75,Se,-72169.481,8678.913,74922522.87
40,35,75,Br,-69107.009,8627.649,74925810.57
39,36,75,Kr,-64323.624,8553.439,74930945.75
38,37,75,Rb,-57218.694,8448.275,74938573.2
37,38,75,Sr,-46618.694,8296.511,74949952.77
47,29,76,Cu,-50975.985,8443.527,75945275.03
46,30,76,Zn,-62303.016,8582.273,75933114.96
45,31,76,Ga,-66296.64,8624.526,75928827.63
44,32,76,Ge,-73212.889,8705.236,75921402.73
43,33,76,As,-72291.377,8682.816,75922392.01
42,34,76,Se,-75251.95,8711.477,75919213.7
41,35,76,Br,-70289.068,8635.882,75924541.58
40,36,76,Kr,-69013.714,8608.807,75925910.73
39,37,76,Rb,-60479.081,8486.215,75935073.03
38,38,76,Sr,-54247.639,8393.929,75941762.76
47,30,77,Zn,-58789.195,8530.003,76936887.2
46,31,77,Ga,-65992.344,8613.39,76929154.3
45,32,77,Ge,-71212.862,8671.028,76923549.84
44,33,77,As,-73916.318,8695.978,76920647.56
43,34,77,Se,-74599.488,8694.69,76919914.15
42,35,77,Br,-73234.809,8666.806,76921379.19
41,36,77,Kr,-70169.443,8616.836,76924670
40,37,77,Rb,-64830.492,8537.339,76930401.6
39,38,77,Sr,-57803.436,8435.918,76937945.46
49,29,78,Cu,-44497.469,8350.925,77952230
48,30,78,Zn,-57483.235,8507.379,77938289.21
47,31,78,Ga,-63705.95,8577.127,77931608.85
46,32,78,Ge,-71862.05,8671.663,77922852.91
45,33,78,As,-72816.94,8673.875,77921827.8
44,34,78,Se,-77025.944,8717.806,77917309.24
43,35,78,Br,-73452.16,8661.959,77921145.86
42,36,78,Kr,-74178.275,8661.238,77920366.34
41,37,78,Rb,-66935.419,8558.35,77928141.87
40,38,78,Sr,-63173.941,8500.096,77932179.98
49,30,79,Zn,-53432.295,8450.582,78942638.07
48,31,79,Ga,-62547.679,8556.063,78932852.3
47,32,79,Ge,-69526.592,8634.501,78925360.13
46,33,79,As,-73636.049,8676.616,78920948.45
45,34,79,Se,-75917.459,8695.592,78918499.25
44,35,79,Br,-76068.035,8687.594,78918337.6
43,36,79,Kr,-74442.257,8657.112,78920082.95
42,37,79,Rb,-70802.985,8601.142,78923989.86
41,38,79,Sr,-65476.889,8523.82,78929707.66
40,39,79,Y,-57817.833,8416.967,78937930
50,30,80,Zn,-51648.612,8423.545,79944552.93
49,31,80,Ga,-59223.667,8508.454,79936420.77
48,32,80,Ge,-69535.306,8627.57,79925350.77
47,33,80,As,-72214.493,8651.28,79922474.55
46,34,80,Se,-77759.457,8710.813,79916521.79
45,35,80,Br,-75888.993,8677.653,79918529.81
44,36,80,Kr,-77893.346,8692.928,79916378.05
43,37,80,Rb,-72175.467,8611.675,79922516.44
42,38,80,Sr,-70311.459,8578.596,79924517.54
41,39,80,Y,-61148.152,8454.275,79934354.76
51,30,81,Zn,-46199.663,8351.925,80950402.62
50,31,81,Ga,-57627.954,8483.357,80938133.84
49,32,81,Ge,-66291.687,8580.658,80928832.94
48,33,81,As,-72533.304,8648.056,80922132.29
47,34,81,Se,-76388.988,8685.999,80917993.04
46,35,81,Br,-77977.034,8695.946,80916288.21
45,36,81,Kr,-77696.181,8682.82,80916589.71
44,37,81,Rb,-75456.67,8645.513,80918993.93
43,38,81,Sr,-71528.125,8587.354,80923211.39
42,39,81,Y,-65712.912,8505.902,80929454.28
41,40,81,Zr,-57460.139,8394.358,80938314
52,30,82,Zn,-42313.954,8301.117,81954574.1
51,31,82,Ga,-52930.719,8421.049,81943176.53
50,32,82,Ge,-65415.067,8563.756,81929774.03
49,33,82,As,-70105.419,8611.414,81924738.73
48,34,82,Se,-77593.882,8693.196,81916699.54
47,35,82,Br,-77498.661,8682.494,81916801.76
46,36,82,Kr,-80591.78515,8710.675,81913481.16
45,37,82,Rb,-76187.803,8647.427,81918209.02
44,38,82,Sr,-76010.053,8635.718,81918399.85
43,39,82,Y,-68064.091,8529.275,81926930.19
42,40,82,Zr,-63631.287,8465.676,81931689
52,31,83,Ga,-49257.122,8372.575,82947120.3
51,32,83,Ge,-60976.435,8504.345,82934539.1
50,33,83,As,-69669.323,8599.653,82925206.9
49,34,83,Se,-75340.53,8658.555,82919118.61
48,35,83,Br,-79013.709,8693.384,82915175.29
47,36,83,Kr,-79990.633,8695.729,82914126.52
46,37,83,Rb,-79070.63,8675.218,82915114.18
45,38,83,Sr,-76797.606,8638.407,82917554.37
44,39,83,Y,-72205.665,8573.656,82922484.03
43,40,83,Zr,-65911.654,8488.399,82929240.93
42,41,83,Nb,-57556.083,8378.304,82938211
52,32,84,Ge,-58148.428,8465.524,83937575.09
51,33,84,As,-65853.56,8547.938,83929303.29
50,34,84,Se,-75947.721,8658.793,83918466.76
49,35,84,Br,-77783.084,8671.329,83916496.42
48,36,84,Kr,-82439.3351,8717.446,83911497.73
47,37,84,Rb,-79758.964,8676.224,83914375.23
46,38,84,Sr,-80649.57,8677.512,83913419.12
45,39,84,Y,-73894.431,8587.78,83920671.06
44,40,84,Zr,-71421.686,8549.029,83923325.66
43,41,84,Nb,-61218.717,8418.252,83934279
53,32,85,Ge,-53123.42,8401.768,84942969.66
52,33,85,As,-63189.144,8510.984,84932163.66
51,34,85,Se,-72413.636,8610.304,84922260.76
50,35,85,Br,-78575.469,8673.592,84915645.76
49,36,85,Kr,-81480.331,8698.562,84912527.26
48,37,85,Rb,-82167.3305,8697.441,84911789.74
47,38,85,Sr,-81103.28,8675.718,84912932.04
46,39,85,Y,-77842.123,8628.148,84916433.04
45,40,85,Zr,-73175.189,8564.039,84921443.2
44,41,85,Nb,-66279.676,8473.711,84928845.84
43,42,85,Mo,-57509.753,8361.331,84938260.74
54,32,86,Ge,-49399.922,8354.629,85946967
53,33,86,As,-58962.142,8456.721,85936701.53
52,34,86,Se,-70503.167,8581.822,85924311.73
51,35,86,Br,-75632.252,8632.365,85918805.43
50,36,86,Kr,-83265.66564,8712.029,85910610.63
49,37,86,Rb,-82746.993,8696.901,85911167.44
48,38,86,Sr,-84523.08935,8708.456,85909260.73
47,39,86,Y,-79283.089,8638.428,85914886.1
46,40,86,Zr,-77969.014,8614.051,85916296.82
45,41,86,Nb,-69134.054,8502.222,85925781.54
44,42,86,Mo,-64110.245,8434.709,85931174.82
54,33,87,As,-55617.907,8413.851,86940291.72
53,34,87,Se,-66426.125,8529.091,86928688.62
52,35,87,Br,-73891.676,8605.91,86920674.02
51,36,87,Kr,-80709.522,8675.283,86913354.76
50,37,87,Rb,-84597.791,8710.983,86909180.53
49,38,87,Sr,-84880.06595,8705.236,86908877.5
48,39,87,Y,-83018.376,8674.844,86910876.1
47,40,87,Zr,-79347.137,8623.654,86914817.34
46,41,87,Nb,-73874.486,8551.757,86920692.47
45,42,87,Mo,-66884.808,8462.424,86928196.2
44,43,87,Tc,-57690.044,8347.744,86938067.19
54,34,88,Se,-63884.195,8495.004,87931417.49
53,35,88,Br,-70715.959,8563.747,87924083.29
52,36,88,Kr,-79691.286,8656.849,87914447.88
51,37,88,Rb,-82608.995,8681.115,87911315.59
50,38,88,Sr,-87921.61793,8732.595,87905612.26
49,39,88,Y,-84299.018,8682.539,87909501.28
48,40,88,Zr,-83628.871,8666.033,87910220.71
47,41,88,Nb,-76173.586,8572.424,87918224.29
46,42,88,Mo,-72686.544,8523.908,87921967.78
45,43,88,Tc,-61681.315,8389.958,87933782.38
55,34,89,Se,-58992.391,8435.279,88936669.06
54,35,89,Br,-68274.263,8530.779,88926704.56
53,36,89,Kr,-76535.785,8614.815,88917835.45
52,37,89,Rb,-81712.388,8664.189,88912278.14
51,38,89,Sr,-86209.017,8705.922,88907450.81
50,39,89,Y,-87708.352,8713.978,88905841.21
49,40,89,Zr,-84875.561,8673.359,88908882.33
48,41,89,Nb,-80625.209,8616.812,88913445.27
47,42,89,Mo,-75014.935,8544.984,88919468.15
46,43,89,Tc,-67394.848,8450.575,88927648.65
56,34,90,Se,-55800.217,8395.766,89940096
55,35,90,Br,-64000.298,8478.186,89931292.85
54,36,90,Kr,-74959.25,8591.259,89919527.93
53,37,90,Rb,-79364.404,8631.512,89914798.8
52,38,90,Sr,-85948.127,8695.972,89907730.89
51,39,90,Y,-86494.062,8693.345,89907144.8
50,40,90,Zr,-88772.535,8709.969,89904698.76
49,41,90,Nb,-82661.519,8633.376,89911259.2
48,42,90,Mo,-80172.503,8597.028,89913931.27
47,43,90,Tc,-70724.687,8483.359,89924073.92
46,44,90,Ru,-64883.792,8409.768,89930344.38
57,34,91,Se,-50580.124,8334.837,90945700
56,35,91,Br,-61107.294,8441.923,90934398.62
55,36,91,Kr,-70973.965,8541.751,90923806.31
54,37,91,Rb,-77745.037,8607.561,90916537.27
53,38,91,Sr,-83651.927,8663.875,90910195.96
52,39,91,Y,-86351.295,8684.941,90907298.07
51,40,91,Zr,-87895.566,8693.314,90905640.22
50,41,91,Nb,-86638.001,8670.897,90906990.27
49,42,91,Mo,-82208.821,8613.628,90911745.2
48,43,91,Tc,-75986.646,8536.655,90918424.98
47,44,91,Ru,-68239.823,8442.928,90926741.53
57,35,92,Br,-56232.805,8384.911,91939631.6
56,36,92,Kr,-68769.32,8512.674,91926173.09
55,37,92,Rb,-74772.438,8569.422,91919728.48
54,38,92,Sr,-82867.361,8648.906,91911038.22
53,39,92,Y,-84816.492,8661.589,91908945.75
52,40,92,Zr,-88459.028,8692.678,91905035.32
51,41,92,Nb,-86453.292,8662.372,91907188.57
50,42,92,Mo,-86808.576,8657.73,91906807.16
49,43,92,Tc,-78925.693,8563.543,91915269.78
48,44,92,Ru,-74301.201,8504.773,91920234.38
47,45,92,Rh,-62999.087,8373.42,91932367.69
58,35,93,Br,-52890.23,8345.598,92943220
57,36,93,Kr,-64135.994,8458.108,92931147.17
56,37,93,Rb,-72619.901,8540.92,92922039.33
55,38,93,Sr,-80085.838,8612.787,92914024.31
54,39,93,Y,-84227.157,8648.905,92909578.42
53,40,93,Zr,-87122.032,8671.62,92906470.65
52,41,93,Nb,-87212.838,8664.184,92906373.16
51,42,93,Mo,-86807.069,8651.409,92906808.77
50,43,93,Tc,-83606.106,8608.577,92910245.15
49,44,93,Ru,-77216.713,8531.462,92917104.44
48,45,93,Rh,-69011.8,8434.825,92925912.78
58,36,94,Kr,-61347.772,8424.331,93934140.45
57,37,94,Rb,-68562.785,8492.764,93926394.82
56,38,94,Sr,-78845.711,8593.834,93915355.64
55,39,94,Y,-82351.463,8622.806,93911592.06
54,40,94,Zr,-87269.322,8666.801,93906312.52
53,41,94,Nb,-86369.062,8648.901,93907278.99
52,42,94,Mo,-88414.065,8662.333,93905083.59
51,43,94,Tc,-84158.317,8608.736,93909652.33
50,44,94,Ru,-82583.591,8583.661,93911342.86
49,45,94,Rh,-72907.613,8472.402,93921730.45
48,46,94,Pd,-66102.268,8391.682,93929036.29
59,36,95,Kr,-56158.913,8365.995,94939710.92
58,37,95,Rb,-65891.493,8460.208,94929262.57
57,38,95,Sr,-75119.551,8549.111,94919355.84
56,39,95,Y,-81208.848,8604.973,94912818.71
55,40,95,Zr,-85659.94,8643.592,94908040.27
54,41,95,Nb,-86786.258,8647.212,94906831.12
53,42,95,Mo,-87711.858,8648.72,94905837.44
52,43,95,Tc,-86021.341,8622.69,94907652.29
51,44,95,Ru,-83457.745,8587.47,94910404.42
50,45,95,Rh,-78340.606,8525.37,94915897.9
49,46,95,Pd,-69965.9,8428.98,94924888.51
60,36,96,Kr,-53079.678,8330.851,95943016.62
59,37,96,Rb,-61354.349,8408.896,95934133.39
58,38,96,Sr,-72924.157,8521.265,95921712.69
57,39,96,Y,-78335.895,8569.488,95915902.95
56,40,96,Zr,-85438.846,8635.327,95908277.62
55,41,96,Nb,-85602.816,8628.886,95908101.59
54,42,96,Mo,-88794.876,8653.987,95904674.77
53,43,96,Tc,-85821.634,8614.866,95907866.68
52,44,96,Ru,-86080.372,8609.412,95907588.91
51,45,96,Rh,-79687.718,8534.673,95914451.71
50,46,96,Pd,-76183.406,8490.02,95918213.74
49,47,96,Ag,-64511.636,8360.29,95930743.91
61,36,97,Kr,-47423.492,8269.864,96949088.78
60,37,97,Rb,-58519.137,8376.186,96937177.12
59,38,97,Sr,-68581.454,8471.856,96926374.78
58,39,97,Y,-76121.424,8541.522,96918280.29
57,40,97,Zr,-82942.661,8603.779,96910957.39
56,41,97,Nb,-85605.776,8623.168,96908098.41
55,42,97,Mo,-87544.691,8635.092,96906016.9
54,43,97,Tc,-87224.424,8623.725,96906360.72
53,44,97,Ru,-86120.552,8604.279,96907545.78
52,45,97,Rh,-82597.552,8559.894,96911327.88
51,46,97,Pd,-77805.843,8502.43,96916471.99
50,47,97,Ag,-70825.843,8422.405,96923965.33
61,37,98,Rb,-54369.146,8330.729,97941632.32
60,38,98,Sr,-66423.104,8445.745,97928691.86
59,39,98,Y,-72294.777,8497.677,97922388.36
58,40,98,Zr,-81286.709,8581.448,97912735.12
57,41,98,Nb,-83524.598,8596.301,97910332.65
56,42,98,Mo,-88115.972,8635.168,97905403.61
55,43,98,Tc,-86432.205,8610.004,97907211.21
54,44,98,Ru,-88224.858,8620.313,97905286.71
53,45,98,Rh,-83175.205,8560.803,97910707.74
52,46,98,Pd,-81320.975,8533.899,97912698.34
51,47,98,Ag,-73066.415,8441.686,97921559.97
50,48,98,Cd,-67636.415,8378.295,97927389.32
62,37,99,Rb,-51121.143,8295.3,98945119.19
61,38,99,Sr,-62521.401,8402.552,98932880.51
60,39,99,Y,-70649.825,8476.755,98924154.29
59,40,99,Zr,-77620.617,8539.264,98916670.84
58,41,99,Nb,-82335.341,8578.985,98911609.37
57,42,99,Mo,-85970.098,8607.797,98907707.3
56,43,99,Tc,-87327.862,8613.61,98906249.68
55,44,99,Ru,-87625.381,8608.712,98905930.28
54,45,99,Rh,-85581.3,8580.163,98908124.69
53,46,99,Pd,-82182.651,8537.93,98911773.29
52,47,99,Ag,-76712.473,8474.774,98917645.77
51,48,99,Cd,-69931.123,8398.373,98924925.85
63,37,100,Rb,-46247.064,8244.32,99950351.73
62,38,100,Sr,-59820.903,8372.234,99935779.62
61,39,100,Y,-67327.396,8439.476,99927721.06
60,40,100,Zr,-76377.437,8522.153,99918005.44
59,41,100,Nb,-79797.399,8548.529,99914333.96
58,42,100,Mo,-86193.025,8604.662,99907467.98
57,43,100,Tc,-86020.945,8595.118,99907652.71
56,44,100,Ru,-89227.389,8619.359,99904210.45
55,45,100,Rh,-85591.126,8575.172,99908114.14
54,46,100,Pd,-85212.778,8563.566,99908520.32
53,47,100,Ag,-78137.959,8484.994,99916115.45
52,48,100,Cd,-74194.596,8437.737,99920348.82
51,49,100,In,-64312.972,8331.097,99930957.18
50,50,100,Sn,-57282.972,8252.974,99938504.2
63,38,101,Sr,-55324.907,8324.74,100940606.3
62,39,101,Y,-65061.002,8413.391,100930154.1
61,40,101,Zr,-73165.957,8485.892,100921453.1
60,41,101,Nb,-78891.491,8534.835,100915306.5
59,42,101,Mo,-83519.949,8572.915,100910337.6
58,43,101,Tc,-86344.594,8593.136,100907305.3
57,44,101,Ru,-87958.114,8601.365,100905573.1
56,45,101,Rh,-87412.416,8588.216,100906158.9
55,46,101,Pd,-85432.132,8560.864,100908284.8
54,47,101,Ag,-81334.374,8512.546,100912684
53,48,101,Cd,-75836.456,8450.365,100918586.2
51,50,101,Sn,-60305.626,8281.102,100935259.2
64,38,102,Sr,-52159.304,8291.22,101944004.7
63,39,102,Y,-61173.177,8371.922,101934327.9
62,40,102,Zr,-71587.707,8466.355,101923147.4
61,41,102,Nb,-76304.544,8504.928,101918083.7
60,42,102,Mo,-83566.061,8568.45,101910288.1
59,43,102,Tc,-84572.878,8570.65,101909207.3
58,44,102,Ru,-89106.437,8607.427,101904340.3
57,45,102,Rh,-86783.318,8576.981,101906834.3
56,46,102,Pd,-87903.171,8580.29,101905632.1
55,47,102,Ag,-82246.691,8517.164,101911704.5
54,48,102,Cd,-79659.691,8484.131,101914481.8
53,49,102,In,-70694.884,8388.571,101924105.9
52,50,102,Sn,-64934.884,8324.43,101930289.5
64,39,103,Y,-58457.575,8342.638,102937243.2
63,40,103,Zr,-67815.334,8425.895,102927197.2
62,41,103,Nb,-75028.671,8488.331,102919453.4
61,42,103,Mo,-80960.67,8538.328,102913085.1
60,43,103,Tc,-84603.867,8566.103,102909174
59,44,103,Ru,-87267.171,8584.365,102906314.8
58,45,103,Rh,-88031.708,8584.192,102905494.1
57,46,103,Pd,-87457.189,8571.019,102906110.8
56,47,103,Ag,-84802.692,8537.651,102908960.6
55,48,103,Cd,-80651.616,8489.754,102913416.9
54,49,103,In,-74632.591,8423.721,102919878.6
53,50,103,Sn,-66972.591,8341.757,102928102
64,40,104,Zr,-65724.06,8402.377,103929442.3
63,41,104,Nb,-71819.012,8453.459,103922899.1
62,42,104,Mo,-80349.968,8527.965,103913740.8
61,43,104,Tc,-82503.444,8541.149,103911428.9
60,44,104,Ru,-88095.71,8587.399,103905425.4
59,45,104,Rh,-86959.348,8568.949,103906645.3
58,46,104,Pd,-89395.105,8584.848,103904030.4
57,47,104,Ag,-85116.452,8536.184,103908623.7
56,48,104,Cd,-83968.38,8517.622,103909856.2
55,49,104,In,-76182.665,8435.237,103918214.5
54,50,104,Sn,-71627.047,8383.911,103923105.2
53,51,104,Sb,-59173.62,8256.644,103936474.5
66,39,105,Y,-51270.361,8269.02,104944959
65,40,105,Zr,-61464.734,8358.659,104934014.9
64,41,105,Nb,-69915.551,8431.692,104924942.6
63,42,105,Mo,-77337.141,8494.923,104916975.2
62,43,105,Tc,-82290.088,8534.643,104911658
61,44,105,Ru,-85934.49,8561.9,104907745.5
60,45,105,Rh,-87851.243,8572.704,104905687.8
59,46,105,Pd,-88417.888,8570.65,104905079.5
58,47,105,Ag,-87070.836,8550.37,104906525.6
57,48,105,Cd,-84333.839,8516.852,104909463.9
56,49,105,In,-79640.572,8464.704,104914502.3
55,50,105,Sn,-73337.992,8397.228,104921268.4
54,51,105,Sb,-64015.482,8300.992,104931276.5
53,52,105,Te,-52811.51,8186.836,104943304.5
66,40,106,Zr,-58549.987,8328.45,105937144
65,41,106,Nb,-66203.357,8393.271,105928927.8
64,42,106,Mo,-76134.528,8479.581,105918266.2
63,43,106,Tc,-79776.223,8506.556,105914356.7
62,44,106,Ru,-86323.223,8560.94,105907328.2
61,45,106,Rh,-86362.627,8553.931,105907285.9
60,46,106,Pd,-89907.527,8579.992,105903480.3
59,47,106,Ag,-86942.383,8544.639,105906663.5
58,48,106,Cd,-87132.138,8539.048,105906459.8
57,49,106,In,-80608.134,8470.12,105913463.6
56,50,106,Sn,-77353.687,8432.038,105916957.4
55,51,106,Sb,-66473.292,8322.012,105928638
54,52,106,Te,-58219.748,8236.767,105937498.5
67,40,107,Zr,-54379.688,8287.073,106941621
66,41,107,Nb,-63723.81,8367.089,106931589.7
65,42,107,Mo,-72551.56,8442.28,106922112.7
64,43,107,Tc,-78749.914,8492.897,106915458.5
63,44,107,Ru,-83862.512,8533.366,106909969.9
62,45,107,Rh,-86863.703,8554.103,106906748
61,46,107,Pd,-88372.639,8560.894,106905128.1
60,47,107,Ag,-88406.67,8553.9,106905091.5
59,48,107,Cd,-86990.261,8533.351,106906612.1
58,49,107,In,-83564.261,8494.021,106910290.1
57,50,107,Sn,-78512.228,8439.494,106915713.7
56,51,107,Sb,-70653.239,8358.734,106924150.6
55,52,107,Te,-60539.326,8256.899,106935008.4
67,41,108,Nb,-59545.765,8325.665,107936075
66,42,108,Mo,-70755.942,8422.219,107924040.4
65,43,108,Tc,-75922.778,8462.816,107918493.5
64,44,108,Ru,-83661.35,8527.225,107910185.8
63,45,108,Rh,-85031.721,8532.67,107908714.7
62,46,108,Pd,-89524.206,8567.023,107903891.8
61,47,108,Ag,-87606.763,8542.025,107905950.3
60,48,108,Cd,-89252.414,8550.019,107904183.6
59,49,108,In,-84119.819,8495.251,107909693.7
58,50,108,Sn,-82069.938,8469.027,107911894.3
57,51,108,Sb,-72445.331,8372.666,107922226.7
56,52,108,Te,-65781.667,8303.721,107929380.5
55,53,108,I,-52649.605,8174.884,107943478.3
68,41,109,Nb,-56689.794,8297.13,108939141
67,42,109,Mo,-66665.996,8381.477,108928431.1
66,43,109,Tc,-74282.775,8444.178,108920254.2
65,44,109,Ru,-80738.401,8496.227,108913323.8
64,45,109,Rh,-84999.455,8528.142,108908749.3
63,46,109,Pd,-87606.476,8544.882,108905950.6
62,47,109,Ag,-88719.426,8547.915,108904755.8
61,48,109,Cd,-88504.321,8538.764,108904986.7
60,49,109,In,-86489.511,8513.102,108907149.7
59,50,109,Sn,-82630.184,8470.518,108911292.8
58,51,109,Sb,-76250.977,8404.815,108918141.2
57,52,109,Te,-67715.39,8319.33,108927304.5
56,53,109,I,-57672.496,8220.016,108938086
55,54,109,Xe,-46169.548,8107.306,108950434.9
69,41,110,Nb,-52309.909,8255.26,109943843
68,42,110,Mo,-64542.585,8359.354,109930710.7
67,43,110,Tc,-71034.51,8411.259,109923741.3
66,44,110,Ru,-80072.576,8486.311,109914038.5
65,45,110,Rh,-82828.686,8504.254,109911079.7
64,46,110,Pd,-88330.905,8547.162,109905172.9
63,47,110,Ag,-87457.302,8532.108,109906110.7
62,48,110,Cd,-90347.969,8551.275,109903007.5
61,49,110,In,-86469.969,8508.908,109907170.7
60,50,110,Sn,-85841.983,8496.087,109907844.8
59,51,110,Sb,-77449.734,8412.681,109916854.3
58,52,110,Te,-72229.811,8358.115,109922458.1
57,53,110,I,-60464.176,8244.043,109935089
56,54,110,Xe,-51922.625,8159.28,109944258.8
69,42,111,Mo,-59939.761,8315.292,110935652
68,43,111,Tc,-69024.622,8390.089,110925899
67,44,111,Ru,-76785.271,8452.957,110917567.6
66,45,111,Rh,-82304.452,8495.631,110911642.5
65,46,111,Pd,-85985.888,8521.749,110907690.3
64,47,111,Ag,-88215.447,8534.787,110905296.8
63,48,111,Cd,-89252.247,8537.079,110904183.8
62,49,111,In,-88392.043,8522.282,110905107.2
61,50,111,Sn,-85938.587,8493.13,110907741.1
60,51,111,Sb,-80836.736,8440.12,110913218.2
59,52,111,Te,-73587.477,8367.763,110921000.6
58,53,111,I,-64953.785,8282.934,110930269.2
57,54,111,Xe,-54395.534,8180.766,110941604
69,43,112,Tc,-65258.938,8353.621,111929941.6
68,44,112,Ru,-75630.818,8439.242,111918807
67,45,112,Rh,-79731.503,8468.87,111914404.7
66,46,112,Pd,-86321.562,8520.724,111907330
65,47,112,Ag,-86583.718,8516.08,111907048.6
64,48,112,Cd,-90574.859,8544.73,111902763.9
63,49,112,In,-87990.131,8514.667,111905538.7
62,50,112,Sn,-88655.056,8513.618,111904824.9
61,51,112,Sb,-81598.965,8443.632,111912399.9
60,52,112,Te,-77567.508,8400.652,111916727.9
59,53,112,I,-67063.33,8299.879,111928004.6
58,54,112,Xe,-60026.338,8230.064,111935559.1
57,55,112,Cs,-46290.277,8100.435,111950305.3
70,43,113,Tc,-62811.541,8329.464,112932569
69,44,113,Ru,-71868.119,8402.688,112922846.4
68,45,113,Rh,-78767.536,8456.821,112915439.6
67,46,113,Pd,-83591.092,8492.584,112910261.3
66,47,113,Ag,-87026.822,8516.065,112906572.9
65,48,113,Cd,-89043.284,8526.987,112904408.1
64,49,113,In,-89367.117,8522.929,112904060.4
63,50,113,Sn,-88328.132,8506.811,112905175.8
62,51,113,Sb,-84416.968,8465.275,112909374.7
61,52,113,Te,-78347.029,8404.636,112915891
60,53,113,I,-71119.507,8333.752,112923650.1
59,54,113,Xe,-62203.618,8247.927,112933221.7
58,55,113,Cs,-51764.53,8148.622,112944428.5
71,43,114,Tc,-58600.288,8290.259,113937090
70,44,114,Ru,-70221.811,8385.34,113924613.8
